,dataset,feat_selection,loss_key,group,metric,value,model_path,fold_key,model,n_epochs
0,pbmc,random,poisson,train,roc_auc,0.6361873766162118,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
1,pbmc,random,poisson,train,roc_auc_multi,0.5251605147175373,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
2,pbmc,random,poisson,train,pr_auc,0.10765917914242301,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
3,pbmc,random,poisson,train,pr_auc_multi,0.07711686896661712,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
4,pbmc,random,poisson,train,r2,-0.1215796353495393,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
5,pbmc,random,poisson,val,roc_auc,0.6620768913849555,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
6,pbmc,random,poisson,val,roc_auc_multi,0.5480842205694213,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
7,pbmc,random,poisson,val,pr_auc,0.13341520871965187,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
8,pbmc,random,poisson,val,pr_auc_multi,0.09314733369983508,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
9,pbmc,random,poisson,val,r2,-0.09578360705384958,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
10,pbmc,random,poisson,test,roc_auc,0.43460949830216655,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
11,pbmc,random,poisson,test,roc_auc_multi,0.4704313931799704,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
12,pbmc,random,poisson,test,pr_auc,0.03190703239361291,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
13,pbmc,random,poisson,test,pr_auc_multi,0.0378367312694018,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
14,pbmc,random,poisson,test,r2,-1.2427341473655313,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_0/best_model.h5,fold_0,scBasset,10
0,pbmc,random,poisson,train,roc_auc,0.6996128322002757,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
1,pbmc,random,poisson,train,roc_auc_multi,0.5010622695594671,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
2,pbmc,random,poisson,train,pr_auc,0.12069252926779109,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
3,pbmc,random,poisson,train,pr_auc_multi,0.07362033191475455,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
4,pbmc,random,poisson,train,r2,-0.07573310382262166,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
5,pbmc,random,poisson,val,roc_auc,0.5641928130866185,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
6,pbmc,random,poisson,val,roc_auc_multi,0.4849825690533655,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
7,pbmc,random,poisson,val,pr_auc,0.03681498041601162,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
8,pbmc,random,poisson,val,pr_auc_multi,0.030735930735930738,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
9,pbmc,random,poisson,val,r2,-1.194654433416631,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
10,pbmc,random,poisson,test,roc_auc,0.7005671296296296,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
11,pbmc,random,poisson,test,roc_auc_multi,0.5038194444444445,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
12,pbmc,random,poisson,test,pr_auc,0.08876692951402643,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
13,pbmc,random,poisson,test,pr_auc_multi,0.04034375,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
14,pbmc,random,poisson,test,r2,-0.566022306973246,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_1/best_model.h5,fold_1,scBasset,10
0,pbmc,random,poisson,train,roc_auc,0.7123077545226232,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
1,pbmc,random,poisson,train,roc_auc_multi,0.5116368532528411,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
2,pbmc,random,poisson,train,pr_auc,0.14092306166992205,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
3,pbmc,random,poisson,train,pr_auc_multi,0.07459472194789228,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
4,pbmc,random,poisson,train,r2,0.001082582230285123,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
5,pbmc,random,poisson,val,roc_auc,0.6686993533600719,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
6,pbmc,random,poisson,val,roc_auc_multi,0.506875665056888,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
